kredit_id,nasabah_id,jenis_kredit,jumlah_pinjaman,outstanding,tenor_bulan,suku_bunga_persen,tanggal_pencairan,tanggal_jatuh_tempo,status_kolektibilitas,agunan,sektor_ekonomi
KRD001250,NSB0001470,Kredit Modal Kerja,500000000,129120191,12,11.0,2022-02-26,2023-02-21,1-Lancar,BPKB,Perdagangan
KRD001251,NSB0009807,KUR Kecil,200000000,133613398,36,6.0,2024-09-05,2027-08-21,1-Lancar,BPKB,Retail
KRD001252,NSB0003820,KUR Kecil,200000000,24723479,60,6.0,2020-11-15,2025-10-20,4-Diragukan,BPKB,Manufaktur
KRD001253,NSB0001103,Kredit Investasi,1000000000,554267708,48,11.0,2024-02-18,2028-01-28,1-Lancar,Mesin/Peralatan,Konstruksi
KRD001254,NSB0000661,Kredit Multiguna,50000000,46249092,60,10.0,2023-03-24,2028-02-26,4-Diragukan,Sertifikat Tanah,Pertanian
KRD001255,NSB0003237,Kartu Kredit,250000000,209874987,24,12.0,2024-12-16,2026-12-06,3-Kurang Lancar,Deposito,Jasa
KRD001256,NSB0004664,Kredit Multiguna,250000000,101089635,12,11.0,2024-11-10,2025-11-05,5-Macet,Sertifikat Tanah,Retail
KRD001257,NSB0000395,KPR,200000000,33764711,240,9.0,2024-05-11,2044-01-27,2-Dalam Perhatian Khusus,BPKB,Transportasi
KRD001258,NSB0008773,KKB,200000000,135176816,48,10.5,2022-12-10,2026-11-19,5-Macet,Deposito,Manufaktur
KRD001259,NSB0009313,KKB,200000000,72695904,36,8.0,2020-07-21,2023-07-06,1-Lancar,Personal Guarantee,Properti
KRD001260,NSB0004375,Kredit Modal Kerja,1000000000,527696277,36,8.0,2024-09-17,2027-09-02,1-Lancar,BPKB,Jasa
KRD001261,NSB0008618,KKB,500000000,134998566,60,12.0,2023-12-03,2028-11-06,4-Diragukan,Tanpa Agunan,Perikanan
KRD001262,NSB0000190,Kredit Modal Kerja,500000000,110158213,12,7.5,2023-09-09,2024-09-03,2-Dalam Perhatian Khusus,Mesin/Peralatan,Pertanian
KRD001263,NSB0008332,Kredit Investasi,100000000,51510400,36,9.5,2022-02-18,2025-02-02,1-Lancar,Mesin/Peralatan,Retail
KRD001264,NSB0000047,Kredit Investasi,50000000,19192917,36,12.0,2025-03-15,2028-02-28,4-Diragukan,Tanpa Agunan,Jasa
KRD001265,NSB0005630,KKB,300000000,55760409,36,10.5,2023-11-06,2026-10-21,1-Lancar,Mesin/Peralatan,Konstruksi
KRD001266,NSB0006306,Kredit Multiguna,100000000,60880733,36,12.0,2023-12-26,2026-12-10,2-Dalam Perhatian Khusus,Deposito,Retail
KRD001267,NSB0007279,KKB,100000000,25825516,36,9.0,2023-11-02,2026-10-17,1-Lancar,Personal Guarantee,Pertanian
KRD001268,NSB0000575,KKB,200000000,79279339,36,8.0,2024-12-29,2027-12-14,1-Lancar,Personal Guarantee,Manufaktur
KRD001269,NSB0006359,KKB,200000000,35654079,36,10.5,2022-09-12,2025-08-27,3-Kurang Lancar,Mesin/Peralatan,Jasa
KRD001270,NSB0008934,KKB,150000000,67176420,48,7.5,2022-03-29,2026-03-08,1-Lancar,Personal Guarantee,Retail
KRD001271,NSB0003559,Kartu Kredit,100000000,36875917,12,10.5,2023-05-21,2024-05-15,1-Lancar,Mesin/Peralatan,Transportasi
KRD001272,NSB0006485,Kredit Modal Kerja,250000000,58219205,36,10.0,2024-01-29,2027-01-13,2-Dalam Perhatian Khusus,Sertifikat Tanah,Konstruksi
KRD001273,NSB0001069,KKB,150000000,110773336,48,9.0,2020-08-29,2024-08-08,2-Dalam Perhatian Khusus,Tanpa Agunan,Retail
KRD001274,NSB0008467,Kartu Kredit,50000000,45152729,24,7.5,2024-03-08,2026-02-26,1-Lancar,Deposito,Perikanan
KRD001275,NSB0003445,KPR,1500000000,901341799,240,11.0,2025-01-21,2044-10-08,4-Diragukan,Tanpa Agunan,Transportasi
KRD001276,NSB0001677,KUR Mikro,15000000,3152884,12,6.0,2020-07-23,2021-07-18,2-Dalam Perhatian Khusus,Mesin/Peralatan,Retail
KRD001277,NSB0004996,KKB,200000000,126306308,60,10.0,2023-02-07,2028-01-12,1-Lancar,Tanpa Agunan,F&B
KRD001278,NSB0000995,KPR,200000000,82465540,240,11.0,2023-01-06,2042-09-23,1-Lancar,Tanpa Agunan,Retail
KRD001279,NSB0008720,Kredit Modal Kerja,100000000,19447468,12,12.0,2020-02-20,2021-02-14,1-Lancar,Sertifikat Tanah,Pertanian
KRD001280,NSB0006328,Kredit Modal Kerja,100000000,49752348,36,9.5,2023-11-28,2026-11-12,3-Kurang Lancar,BPKB,Perdagangan
KRD001281,NSB0002668,KKB,100000000,50421653,36,11.0,2022-09-27,2025-09-11,1-Lancar,Personal Guarantee,Transportasi
KRD001282,NSB0001587,Kredit Modal Kerja,500000000,383167321,60,9.0,2021-08-06,2026-07-11,1-Lancar,Tanpa Agunan,Transportasi
KRD001283,NSB0004579,KKB,500000000,91878257,48,11.0,2024-12-31,2028-12-10,1-Lancar,Personal Guarantee,Konstruksi
KRD001284,NSB0004911,KUR Mikro,25000000,13928825,24,6.0,2024-03-22,2026-03-12,1-Lancar,Personal Guarantee,Retail
KRD001285,NSB0003985,KPR,500000000,275536318,180,9.5,2024-10-23,2039-08-06,2-Dalam Perhatian Khusus,Mesin/Peralatan,Transportasi
KRD001286,NSB0005484,Kredit Multiguna,100000000,35921579,60,10.5,2022-05-06,2027-04-10,1-Lancar,Mesin/Peralatan,Manufaktur
KRD001287,NSB0005760,KUR Kecil,50000000,34071711,36,6.0,2020-08-04,2023-07-20,1-Lancar,Tanpa Agunan,Retail
KRD001288,NSB0001960,Kartu Kredit,250000000,173517509,24,9.0,2023-06-11,2025-05-31,1-Lancar,Tanpa Agunan,Properti
KRD001289,NSB0005723,Kredit Modal Kerja,100000000,91299804,48,8.5,2024-09-12,2028-08-22,1-Lancar,Personal Guarantee,Retail
KRD001290,NSB0002310,KUR Mikro,10000000,6116763,36,6.0,2020-06-18,2023-06-03,1-Lancar,Tanpa Agunan,Transportasi
KRD001291,NSB0001650,KPR,500000000,274854536,240,8.0,2021-11-01,2041-07-19,2-Dalam Perhatian Khusus,Sertifikat Tanah,Pertanian
KRD001292,NSB0001260,KPR,300000000,159013822,240,8.0,2025-03-06,2044-11-21,1-Lancar,Personal Guarantee,Jasa
KRD001293,NSB0001577,KPR,200000000,185629628,240,9.0,2020-02-29,2039-11-16,2-Dalam Perhatian Khusus,Personal Guarantee,Manufaktur
KRD001294,NSB0008669,KUR Kecil,50000000,9898088,48,6.0,2020-01-14,2023-12-24,1-Lancar,Personal Guarantee,Jasa
KRD001295,NSB0009630,KPR,1500000000,970431345,240,9.5,2022-12-10,2042-08-27,2-Dalam Perhatian Khusus,Sertifikat Tanah,Konstruksi
KRD001296,NSB0002707,KUR Mikro,25000000,22705387,36,6.0,2021-08-13,2024-07-28,2-Dalam Perhatian Khusus,Tanpa Agunan,Manufaktur
KRD001297,NSB0000869,Kredit Modal Kerja,50000000,42740522,12,8.0,2022-12-15,2023-12-10,1-Lancar,Mesin/Peralatan,Retail
KRD001298,NSB0007515,Kredit Investasi,250000000,191055665,48,10.0,2022-07-26,2026-07-05,1-Lancar,Mesin/Peralatan,Transportasi
KRD001299,NSB0001953,Kredit Investasi,50000000,6037430,24,8.5,2020-11-29,2022-11-19,1-Lancar,Deposito,F&B
KRD001300,NSB0007582,KUR Kecil,200000000,105862382,48,6.0,2023-11-07,2027-10-17,1-Lancar,Tanpa Agunan,Pertanian
KRD001301,NSB0000325,KUR Mikro,10000000,8854582,24,6.0,2024-01-21,2026-01-10,4-Diragukan,BPKB,Konstruksi
KRD001302,NSB0002418,KPR,1500000000,1341087107,120,10.0,2020-08-24,2030-07-03,1-Lancar,Mesin/Peralatan,Jasa
KRD001303,NSB0002711,Kredit Investasi,500000000,406282714,60,7.5,2024-08-07,2029-07-12,3-Kurang Lancar,Tanpa Agunan,Jasa
KRD001304,NSB0004519,KUR Mikro,10000000,7364511,36,6.0,2024-12-31,2027-12-16,1-Lancar,Deposito,Perdagangan
KRD001305,NSB0001637,Kredit Investasi,50000000,34969408,36,12.0,2020-03-26,2023-03-11,1-Lancar,Personal Guarantee,Manufaktur
KRD001306,NSB0002820,Kredit Modal Kerja,100000000,64738171,60,7.5,2023-05-02,2028-04-05,1-Lancar,Personal Guarantee,Manufaktur
KRD001307,NSB0005710,KUR Mikro,20000000,4304065,36,6.0,2021-10-19,2024-10-03,5-Macet,Deposito,Jasa
KRD001308,NSB0003517,KPR,1500000000,870510236,120,9.0,2021-09-06,2031-07-16,1-Lancar,Tanpa Agunan,Manufaktur
KRD001309,NSB0009548,KPR,1500000000,1322226803,180,11.0,2020-03-31,2035-01-12,1-Lancar,Personal Guarantee,Pertanian
KRD001310,NSB0002899,Kredit Investasi,250000000,48293967,36,11.0,2021-05-06,2024-04-20,1-Lancar,Deposito,Perdagangan
KRD001311,NSB0007135,KUR Kecil,50000000,43401277,60,6.0,2021-09-18,2026-08-23,1-Lancar,Tanpa Agunan,Jasa
KRD001312,NSB0009228,KPR,300000000,221323902,120,7.5,2024-10-25,2034-09-03,1-Lancar,Tanpa Agunan,Properti
KRD001313,NSB0004976,KPR,200000000,72859166,120,7.5,2020-10-01,2030-08-10,1-Lancar,Mesin/Peralatan,Perikanan
KRD001314,NSB0002849,KKB,500000000,373322802,60,10.5,2023-04-03,2028-03-07,1-Lancar,Tanpa Agunan,Konstruksi
KRD001315,NSB0006711,KPR,500000000,355257664,180,10.0,2024-07-29,2039-05-12,1-Lancar,BPKB,Konstruksi
KRD001316,NSB0008496,Kredit Modal Kerja,100000000,80962437,24,8.0,2023-02-14,2025-02-03,1-Lancar,BPKB,Perikanan
KRD001317,NSB0000823,KUR Mikro,20000000,3677355,12,6.0,2023-12-30,2024-12-24,1-Lancar,Personal Guarantee,Properti
KRD001318,NSB0006178,KUR Kecil,200000000,108716130,60,6.0,2023-05-01,2028-04-04,3-Kurang Lancar,Deposito,Jasa
KRD001319,NSB0002908,Kredit Multiguna,1000000000,125960196,36,9.5,2023-07-17,2026-07-01,1-Lancar,Sertifikat Tanah,Manufaktur
KRD001320,NSB0009765,KUR Mikro,25000000,16178789,24,6.0,2021-07-15,2023-07-05,2-Dalam Perhatian Khusus,Sertifikat Tanah,Perikanan
KRD001321,NSB0008193,KPR,1000000000,487067827,180,9.5,2023-10-18,2038-07-31,1-Lancar,Deposito,Perdagangan
KRD001322,NSB0007924,Kartu Kredit,250000000,119325971,48,11.0,2024-09-11,2028-08-21,1-Lancar,BPKB,Retail
KRD001323,NSB0002953,KUR Mikro,15000000,4762737,24,6.0,2021-01-31,2023-01-21,1-Lancar,Sertifikat Tanah,Manufaktur
KRD001324,NSB0009639,Kredit Modal Kerja,1000000000,645246169,60,8.0,2024-05-30,2029-05-04,1-Lancar,Deposito,Konstruksi
KRD001325,NSB0000458,Kredit Multiguna,500000000,206601800,24,9.0,2023-07-30,2025-07-19,1-Lancar,BPKB,Perdagangan
KRD001326,NSB0002366,KPR,750000000,472789085,240,12.0,2020-02-27,2039-11-14,1-Lancar,Deposito,Retail
KRD001327,NSB0004465,Kredit Investasi,500000000,468519641,12,9.0,2023-03-28,2024-03-22,4-Diragukan,BPKB,Manufaktur
KRD001328,NSB0007355,Kredit Multiguna,50000000,7792548,48,12.0,2022-05-14,2026-04-23,3-Kurang Lancar,Deposito,Retail
KRD001329,NSB0006142,Kredit Investasi,1000000000,825504032,60,9.0,2020-07-14,2025-06-18,1-Lancar,Tanpa Agunan,Pertanian
KRD001330,NSB0005922,KUR Mikro,25000000,16873878,12,6.0,2022-08-16,2023-08-11,2-Dalam Perhatian Khusus,Sertifikat Tanah,Perikanan
KRD001331,NSB0001569,KPR,1000000000,365607611,240,8.5,2023-02-15,2042-11-02,2-Dalam Perhatian Khusus,BPKB,Konstruksi
KRD001332,NSB0004223,KUR Kecil,300000000,185067721,60,6.0,2020-03-18,2025-02-20,1-Lancar,Mesin/Peralatan,Retail
KRD001333,NSB0001464,KPR,750000000,173194164,180,12.0,2023-12-10,2038-09-22,1-Lancar,Mesin/Peralatan,Retail
KRD001334,NSB0001921,KUR Kecil,300000000,275497599,48,6.0,2021-01-08,2024-12-18,1-Lancar,Mesin/Peralatan,Pertanian
KRD001335,NSB0007895,Kredit Investasi,100000000,78791069,12,8.5,2022-03-16,2023-03-11,1-Lancar,Deposito,Konstruksi
KRD001336,NSB0004985,Kredit Modal Kerja,50000000,28440792,60,10.5,2023-04-08,2028-03-12,1-Lancar,Tanpa Agunan,Manufaktur
KRD001337,NSB0006053,KUR Kecil,50000000,14843811,36,6.0,2020-11-20,2023-11-05,1-Lancar,Tanpa Agunan,Pertanian
KRD001338,NSB0000950,Kredit Modal Kerja,1000000000,134473309,12,8.0,2025-03-10,2026-03-05,1-Lancar,Mesin/Peralatan,Retail
KRD001339,NSB0004381,KUR Kecil,500000000,380594862,48,6.0,2020-10-31,2024-10-10,5-Macet,Personal Guarantee,Manufaktur
KRD001340,NSB0009952,KPR,750000000,396939995,120,8.0,2022-05-10,2032-03-18,1-Lancar,Sertifikat Tanah,Manufaktur
KRD001341,NSB0009675,Kartu Kredit,50000000,25377654,36,9.5,2023-06-22,2026-06-06,1-Lancar,Personal Guarantee,F&B
KRD001342,NSB0002550,KUR Mikro,15000000,5297629,36,6.0,2021-06-20,2024-06-04,1-Lancar,Mesin/Peralatan,Retail
KRD001343,NSB0009431,KPR,500000000,180858044,240,7.5,2023-02-24,2042-11-11,2-Dalam Perhatian Khusus,Mesin/Peralatan,Transportasi
KRD001344,NSB0002433,KPR,200000000,165637464,240,9.0,2024-01-15,2043-10-02,1-Lancar,Deposito,Manufaktur
KRD001345,NSB0005489,Kredit Modal Kerja,50000000,8416783,12,9.0,2023-08-18,2024-08-12,1-Lancar,Deposito,F&B
KRD001346,NSB0006738,KPR,500000000,310223386,120,8.0,2021-08-10,2031-06-19,1-Lancar,Personal Guarantee,Manufaktur
KRD001347,NSB0009744,Kredit Modal Kerja,500000000,331214408,36,8.5,2021-03-25,2024-03-09,1-Lancar,BPKB,Transportasi
KRD001348,NSB0004921,KPR,1000000000,190165222,120,8.5,2021-10-04,2031-08-13,3-Kurang Lancar,Mesin/Peralatan,Retail
KRD001349,NSB0008544,KKB,300000000,189215379,48,12.0,2023-10-09,2027-09-18,1-Lancar,Mesin/Peralatan,Pertanian
KRD001350,NSB0006488,Kredit Multiguna,100000000,67239339,48,9.0,2021-03-27,2025-03-06,2-Dalam Perhatian Khusus,Sertifikat Tanah,F&B
KRD001351,NSB0007044,KKB,500000000,129011275,36,9.0,2021-10-17,2024-10-01,1-Lancar,BPKB,Perikanan
KRD001352,NSB0008184,Kartu Kredit,100000000,10763004,24,8.0,2023-11-08,2025-10-28,1-Lancar,Mesin/Peralatan,Perdagangan
KRD001353,NSB0006534,Kartu Kredit,1000000000,645622394,36,9.5,2020-01-19,2023-01-03,3-Kurang Lancar,Mesin/Peralatan,Pertanian
KRD001354,NSB0000692,KUR Mikro,10000000,4814627,24,6.0,2021-10-05,2023-09-25,1-Lancar,Sertifikat Tanah,Perdagangan
KRD001355,NSB0000941,KKB,200000000,69634802,60,8.0,2020-09-21,2025-08-26,2-Dalam Perhatian Khusus,Deposito,Transportasi
KRD001356,NSB0000085,KPR,1500000000,1280005218,120,7.5,2023-09-25,2033-08-03,1-Lancar,Mesin/Peralatan,Properti
KRD001357,NSB0006219,Kredit Modal Kerja,250000000,235902566,36,10.5,2020-02-07,2023-01-22,5-Macet,Tanpa Agunan,Properti
KRD001358,NSB0005812,Kredit Modal Kerja,100000000,13885165,12,9.0,2023-09-04,2024-08-29,3-Kurang Lancar,Tanpa Agunan,Manufaktur
KRD001359,NSB0003110,KUR Mikro,25000000,17118902,12,6.0,2020-10-02,2021-09-27,1-Lancar,Mesin/Peralatan,Perdagangan
KRD001360,NSB0006768,KUR Mikro,20000000,4016506,36,6.0,2022-11-23,2025-11-07,1-Lancar,Tanpa Agunan,Jasa
KRD001361,NSB0008985,KUR Kecil,50000000,23213010,60,6.0,2021-09-13,2026-08-18,1-Lancar,Tanpa Agunan,Perikanan
KRD001362,NSB0005971,Kredit Investasi,100000000,86211926,60,9.0,2022-07-14,2027-06-18,1-Lancar,Deposito,Perikanan
KRD001363,NSB0005909,Kredit Investasi,50000000,38900867,48,9.0,2021-07-05,2025-06-14,1-Lancar,Personal Guarantee,Manufaktur
KRD001364,NSB0003343,Kartu Kredit,1000000000,383262875,24,10.0,2020-01-08,2021-12-28,1-Lancar,Mesin/Peralatan,Manufaktur
KRD001365,NSB0009135,Kartu Kredit,100000000,77549479,60,8.0,2024-06-22,2029-05-27,1-Lancar,BPKB,Jasa
KRD001366,NSB0009190,KPR,300000000,76024193,120,7.5,2023-03-24,2033-01-30,1-Lancar,Sertifikat Tanah,Jasa
KRD001367,NSB0001844,KPR,300000000,86776214,120,12.0,2022-12-15,2032-10-23,2-Dalam Perhatian Khusus,Tanpa Agunan,Konstruksi
KRD001368,NSB0004417,KPR,1500000000,1071067872,240,8.0,2020-01-21,2039-10-08,3-Kurang Lancar,Deposito,Jasa
KRD001369,NSB0006623,KPR,300000000,207855042,240,9.5,2022-11-10,2042-07-28,1-Lancar,Sertifikat Tanah,Manufaktur
KRD001370,NSB0009028,Kartu Kredit,1000000000,620140841,12,9.5,2020-08-22,2021-08-17,1-Lancar,Tanpa Agunan,Pertanian
KRD001371,NSB0008478,KPR,750000000,165232301,240,12.0,2024-02-28,2043-11-15,1-Lancar,Deposito,Manufaktur
KRD001372,NSB0003947,Kartu Kredit,1000000000,506183933,36,7.5,2021-03-27,2024-03-11,1-Lancar,Mesin/Peralatan,Perikanan
KRD001373,NSB0002537,KUR Kecil,500000000,165070556,48,6.0,2023-10-26,2027-10-05,5-Macet,Tanpa Agunan,Manufaktur
KRD001374,NSB0007641,Kartu Kredit,250000000,79419473,12,10.5,2023-07-11,2024-07-05,1-Lancar,Mesin/Peralatan,Properti
KRD001375,NSB0005021,Kredit Investasi,500000000,305017105,48,10.0,2023-08-20,2027-07-30,1-Lancar,Tanpa Agunan,Konstruksi
KRD001376,NSB0000041,Kredit Multiguna,250000000,148697382,24,10.5,2023-05-06,2025-04-25,1-Lancar,Deposito,Konstruksi
KRD001377,NSB0005189,KKB,200000000,138038519,60,8.5,2024-06-21,2029-05-26,1-Lancar,Sertifikat Tanah,Perdagangan
KRD001378,NSB0009799,KPR,200000000,154444288,120,8.0,2020-10-28,2030-09-06,4-Diragukan,Tanpa Agunan,Pertanian
KRD001379,NSB0006707,KUR Kecil,500000000,166924789,60,6.0,2022-01-25,2026-12-30,1-Lancar,Mesin/Peralatan,Properti
KRD001380,NSB0006134,KUR Kecil,50000000,33095909,36,6.0,2020-02-13,2023-01-28,5-Macet,Personal Guarantee,Properti
KRD001381,NSB0005380,KUR Mikro,20000000,5856076,12,6.0,2024-10-02,2025-09-27,5-Macet,Mesin/Peralatan,Pertanian
KRD001382,NSB0004686,Kartu Kredit,500000000,119386449,12,8.0,2021-10-04,2022-09-29,2-Dalam Perhatian Khusus,Sertifikat Tanah,Pertanian
KRD001383,NSB0004839,KUR Kecil,500000000,345719156,48,6.0,2020-03-24,2024-03-03,1-Lancar,Tanpa Agunan,Konstruksi
KRD001384,NSB0008311,KUR Kecil,200000000,37314877,60,6.0,2024-06-09,2029-05-14,1-Lancar,Mesin/Peralatan,Transportasi
KRD001385,NSB0001821,Kredit Multiguna,50000000,17343404,24,11.0,2022-09-03,2024-08-23,1-Lancar,Deposito,Manufaktur
KRD001386,NSB0009830,KUR Kecil,200000000,53925797,60,6.0,2023-06-19,2028-05-23,1-Lancar,Deposito,Perikanan
KRD001387,NSB0004573,KUR Mikro,5000000,3236753,12,6.0,2023-03-07,2024-03-01,5-Macet,Deposito,Properti
KRD001388,NSB0002336,Kredit Investasi,100000000,64401297,60,8.5,2024-01-06,2028-12-10,1-Lancar,Personal Guarantee,Konstruksi
KRD001389,NSB0004608,KUR Kecil,50000000,36979922,48,6.0,2024-02-03,2028-01-13,3-Kurang Lancar,Personal Guarantee,Transportasi
KRD001390,NSB0000093,KPR,200000000,139823602,240,9.5,2021-10-22,2041-07-09,1-Lancar,Deposito,Konstruksi
KRD001391,NSB0006151,KUR Mikro,25000000,22751000,36,6.0,2023-08-25,2026-08-09,1-Lancar,BPKB,F&B
KRD001392,NSB0005652,Kartu Kredit,50000000,9755339,48,7.5,2021-03-09,2025-02-16,1-Lancar,Sertifikat Tanah,Perikanan
KRD001393,NSB0004941,KUR Kecil,50000000,17683682,60,6.0,2023-12-30,2028-12-03,2-Dalam Perhatian Khusus,Sertifikat Tanah,Konstruksi
KRD001394,NSB0000580,KPR,750000000,273726960,240,8.0,2020-08-02,2040-04-19,2-Dalam Perhatian Khusus,Personal Guarantee,Konstruksi
KRD001395,NSB0000962,KUR Kecil,100000000,60956978,60,6.0,2024-03-28,2029-03-02,2-Dalam Perhatian Khusus,Tanpa Agunan,Transportasi
KRD001396,NSB0006585,Kredit Modal Kerja,250000000,156496712,12,7.5,2021-04-23,2022-04-18,1-Lancar,Personal Guarantee,Konstruksi
KRD001397,NSB0002674,KPR,300000000,203354605,240,7.5,2020-08-23,2040-05-10,1-Lancar,Personal Guarantee,Jasa
KRD001398,NSB0004023,KKB,300000000,283413167,36,8.0,2022-01-05,2024-12-20,5-Macet,Deposito,Properti
KRD001399,NSB0008263,KKB,100000000,94689716,36,9.0,2024-08-29,2027-08-14,3-Kurang Lancar,Sertifikat Tanah,Properti
KRD001400,NSB0009264,KUR Mikro,15000000,2203009,36,6.0,2024-12-19,2027-12-04,1-Lancar,BPKB,Manufaktur
KRD001401,NSB0001695,Kredit Modal Kerja,250000000,34062791,24,8.5,2021-04-09,2023-03-30,1-Lancar,Deposito,Transportasi
KRD001402,NSB0002588,KPR,1000000000,186742415,240,9.0,2020-09-21,2040-06-08,1-Lancar,Tanpa Agunan,Manufaktur
KRD001403,NSB0009838,Kredit Multiguna,250000000,209455781,48,9.5,2022-12-30,2026-12-09,4-Diragukan,Deposito,Jasa
KRD001404,NSB0003794,Kartu Kredit,250000000,109388221,60,12.0,2022-02-17,2027-01-22,1-Lancar,BPKB,Pertanian
KRD001405,NSB0008444,Kredit Modal Kerja,50000000,46191089,48,8.5,2021-05-04,2025-04-13,1-Lancar,Deposito,F&B
KRD001406,NSB0006505,KPR,1500000000,670751539,180,12.0,2022-12-15,2037-09-27,1-Lancar,Personal Guarantee,Pertanian
KRD001407,NSB0001718,Kredit Investasi,100000000,50100097,12,10.0,2023-03-21,2024-03-15,1-Lancar,BPKB,F&B
KRD001408,NSB0007787,Kredit Multiguna,1000000000,514467425,24,12.0,2025-01-05,2026-12-26,2-Dalam Perhatian Khusus,Personal Guarantee,Jasa
KRD001409,NSB0002927,KKB,300000000,51041060,36,10.0,2023-05-23,2026-05-07,1-Lancar,Personal Guarantee,Transportasi
KRD001410,NSB0007557,KUR Mikro,25000000,20711743,36,6.0,2024-07-06,2027-06-21,2-Dalam Perhatian Khusus,Personal Guarantee,Retail
KRD001411,NSB0002460,KPR,300000000,198060008,180,10.5,2025-01-31,2039-11-14,1-Lancar,Sertifikat Tanah,Properti
KRD001412,NSB0004888,Kredit Modal Kerja,500000000,129937167,48,8.0,2022-10-15,2026-09-24,1-Lancar,BPKB,Perikanan
KRD001413,NSB0002045,KKB,100000000,65903908,36,9.5,2022-07-25,2025-07-09,3-Kurang Lancar,Deposito,F&B
KRD001414,NSB0001463,Kredit Investasi,100000000,77107100,36,8.0,2025-03-12,2028-02-25,1-Lancar,Mesin/Peralatan,Retail
KRD001415,NSB0007154,Kredit Modal Kerja,500000000,333689467,36,12.0,2020-01-13,2022-12-28,1-Lancar,BPKB,Jasa
KRD001416,NSB0000567,KKB,500000000,235913738,48,12.0,2022-07-11,2026-06-20,1-Lancar,Tanpa Agunan,Jasa
KRD001417,NSB0000963,KUR Kecil,100000000,67395254,36,6.0,2021-05-14,2024-04-28,1-Lancar,BPKB,Konstruksi
KRD001418,NSB0000074,Kredit Modal Kerja,500000000,240825131,36,9.0,2021-09-26,2024-09-10,3-Kurang Lancar,Sertifikat Tanah,Perikanan
KRD001419,NSB0004713,Kredit Investasi,50000000,26929520,48,7.5,2021-05-05,2025-04-14,1-Lancar,Tanpa Agunan,Transportasi
KRD001420,NSB0000324,Kredit Modal Kerja,50000000,37861518,60,8.0,2022-10-05,2027-09-09,3-Kurang Lancar,Sertifikat Tanah,Perikanan
KRD001421,NSB0004623,Kredit Modal Kerja,500000000,113660253,24,7.5,2021-09-11,2023-09-01,3-Kurang Lancar,Mesin/Peralatan,Jasa
KRD001422,NSB0009521,Kredit Investasi,50000000,42114235,24,11.0,2023-05-01,2025-04-20,1-Lancar,Deposito,Pertanian
KRD001423,NSB0005464,KPR,1500000000,1333946281,180,9.0,2020-12-31,2035-10-14,1-Lancar,Deposito,Manufaktur
KRD001424,NSB0004666,KPR,750000000,114836240,240,8.0,2024-04-03,2043-12-20,2-Dalam Perhatian Khusus,BPKB,Properti
KRD001425,NSB0006520,KKB,500000000,279486332,60,8.0,2022-07-31,2027-07-05,2-Dalam Perhatian Khusus,Personal Guarantee,Perdagangan
KRD001426,NSB0000494,KPR,1500000000,1125395454,180,9.5,2021-10-30,2036-08-12,1-Lancar,Personal Guarantee,Perdagangan
KRD001427,NSB0005690,KUR Mikro,25000000,21402855,12,6.0,2020-01-10,2021-01-04,1-Lancar,Mesin/Peralatan,F&B
KRD001428,NSB0001819,Kredit Multiguna,50000000,8389644,12,10.0,2021-04-04,2022-03-30,1-Lancar,Personal Guarantee,F&B
KRD001429,NSB0000162,Kartu Kredit,500000000,227297925,24,10.5,2022-09-05,2024-08-25,2-Dalam Perhatian Khusus,Sertifikat Tanah,Properti
KRD001430,NSB0005140,Kredit Modal Kerja,500000000,152921809,48,11.0,2022-07-19,2026-06-28,1-Lancar,Deposito,Retail
KRD001431,NSB0002269,Kredit Multiguna,100000000,53251718,60,10.0,2023-08-25,2028-07-29,2-Dalam Perhatian Khusus,Mesin/Peralatan,Perdagangan
KRD001432,NSB0002063,KUR Mikro,10000000,7125385,24,6.0,2020-08-31,2022-08-21,1-Lancar,Personal Guarantee,Transportasi
KRD001433,NSB0003786,Kredit Modal Kerja,500000000,84822410,48,10.0,2024-12-12,2028-11-21,4-Diragukan,Personal Guarantee,Manufaktur
KRD001434,NSB0008316,Kartu Kredit,1000000000,367510289,12,10.5,2020-08-17,2021-08-12,1-Lancar,Personal Guarantee,Konstruksi
KRD001435,NSB0008697,KUR Kecil,300000000,146636558,60,6.0,2021-06-15,2026-05-20,1-Lancar,Mesin/Peralatan,Properti
KRD001436,NSB0005462,KKB,100000000,61580973,60,7.5,2023-03-31,2028-03-04,4-Diragukan,BPKB,Jasa
KRD001437,NSB0000718,Kredit Multiguna,50000000,11938334,36,12.0,2024-05-08,2027-04-23,1-Lancar,Mesin/Peralatan,Perdagangan
KRD001438,NSB0001132,Kartu Kredit,250000000,182773158,12,9.5,2024-04-12,2025-04-07,3-Kurang Lancar,Deposito,Manufaktur
KRD001439,NSB0009023,KUR Mikro,10000000,2421540,36,6.0,2023-02-21,2026-02-05,1-Lancar,BPKB,Pertanian
KRD001440,NSB0005162,KPR,1000000000,190446679,240,8.0,2021-03-20,2040-12-05,2-Dalam Perhatian Khusus,BPKB,Properti
KRD001441,NSB0008851,Kredit Investasi,100000000,32955223,12,9.5,2020-01-18,2021-01-12,5-Macet,BPKB,Retail
KRD001442,NSB0003662,KKB,500000000,301389020,60,10.0,2020-12-23,2025-11-27,1-Lancar,Sertifikat Tanah,Jasa
